,Exec Env,#vCPUs,Access Method,Number of Threads,Block Size (KiB),Total Size (MiB),Operation,Scope,Total Ops,Ops per sec,Data Transfered (MiB),Throughput (MiB/sec),Total Time,Total #events,Min Latency (ms),Avg Latency (ms),Max Latency (ms),95th Percentile Latency (ms),Total Execution Time across Threads (s),Avg Number of Events per Thread,Avg Execution Time per Thread (s)
0,Linux Host,96,rnd,1,4096.0,1024000.0,read,global,12323.0,410.73,49292.0,1642.93,30.001,12323.0,2.41,2.43,7.92,2.48,29.99633,12323.0,29.9963
1,Linux Host,96,rnd,1,4096.0,1024000.0,read,local,12158.0,405.21,48632.0,1620.85,30.0003,12158.0,2.43,2.47,7.41,2.52,29.99468,12158.0,29.9947
2,Linux Host,96,seq,1,4096.0,1024000.0,read,global,256000.0,10748.42,1024000.0,42993.67,23.8139,256000.0,0.09,0.09,0.68,0.09,23.776259999999997,256000.0,23.7763
3,Linux Host,96,seq,1,4096.0,1024000.0,read,local,256000.0,10737.39,1024000.0,42949.56,23.8383,256000.0,0.09,0.09,0.55,0.09,23.80058,256000.0,23.8006
4,Linux Host,96,rnd,1,4096.0,1024000.0,write,global,5819.0,193.94,23276.0,775.77,30.0004,5819.0,2.2,5.15,10.95,5.18,29.995669999999997,5819.0,29.9957
5,Linux Host,96,rnd,1,4096.0,1024000.0,write,local,5819.0,193.93,23276.0,775.73,30.0015,5819.0,2.19,5.15,9.87,5.18,29.99606,5819.0,29.9961
6,Linux Host,96,seq,1,4096.0,1024000.0,write,global,140837.0,4693.95,563348.0,18775.81,30.0003,140837.0,0.21,0.21,2.14,0.22,29.976770000000002,140837.0,29.9768
7,Linux Host,96,seq,1,4096.0,1024000.0,write,local,140850.0,4694.38,563400.0,18777.53,30.0004,140850.0,0.21,0.21,0.77,0.22,29.97659,140850.0,29.9766
8,Linux Host,96,rnd,2,4096.0,1024000.0,read,global,24773.0,825.66,99092.0,3302.64,30.002,24773.0,2.35,2.42,11.52,2.48,59.989,12386.5,29.9945
9,Linux Host,96,rnd,2,4096.0,1024000.0,read,local,24523.0,817.28,98092.0,3269.12,30.0018,24523.0,2.35,2.45,14.17,2.52,59.98619,12261.5,29.9931
10,Linux Host,96,seq,2,4096.0,1024000.0,read,global,256000.0,21428.09,1024000.0,85712.36,11.9433,256000.0,0.09,0.09,2.49,0.09,23.73144,128000.0,11.8657
11,Linux Host,96,seq,2,4096.0,1024000.0,read,local,256000.0,20813.18,1024000.0,83252.73,12.2963,256000.0,0.09,0.09,13.56,0.1,24.14537,128000.0,12.0727
12,Linux Host,96,rnd,2,4096.0,1024000.0,write,global,5401.0,180.0,21604.0,720.02,30.0012,5401.0,3.15,11.11,21.94,17.32,59.99414,2700.5,29.9971
13,Linux Host,96,rnd,2,4096.0,1024000.0,write,local,11616.0,387.14,46464.0,1548.56,30.0009,11616.0,2.2,5.16,22.62,5.28,59.990730000000006,5808.0,29.9954
14,Linux Host,96,seq,2,4096.0,1024000.0,write,global,69948.0,2331.28,279792.0,9325.1,30.0009,69948.0,0.21,0.86,5.54,1.37,59.97365,34974.0,29.9868
15,Linux Host,96,seq,2,4096.0,1024000.0,write,local,256000.0,9249.1,1024000.0,36996.39,27.6747,256000.0,0.21,0.21,12.19,0.22,54.954370000000004,128000.0,27.4772
16,Linux Host,96,rnd,3,4096.0,1024000.0,read,global,37355.0,1244.91,149420.0,4979.65,30.0024,37355.0,2.35,2.41,13.25,2.61,89.98596,12451.6667,29.9953
17,Linux Host,96,rnd,3,4096.0,1024000.0,read,local,36172.0,1205.33,144688.0,4821.34,30.0061,36172.0,2.38,2.49,18.78,2.71,89.98944999999999,12057.3333,29.9965
18,Linux Host,96,seq,3,4096.0,1024000.0,read,global,255999.0,31355.25,1023996.0,125420.98,8.1612,255999.0,0.09,0.09,3.05,0.1,24.17998,85333.0,8.06
19,Linux Host,96,seq,3,4096.0,1024000.0,read,local,255999.0,30426.98,1023996.0,121707.93,8.4097,255999.0,0.09,0.1,11.51,0.11,24.784689999999998,85333.0,8.2616
20,Linux Host,96,rnd,3,4096.0,1024000.0,write,global,6197.0,206.47,24788.0,825.9,30.0097,6197.0,4.93,14.53,20.64,18.28,90.0123,2065.6667,30.0041
21,Linux Host,96,rnd,3,4096.0,1024000.0,write,local,17384.0,579.34,69536.0,2317.36,30.0027,17384.0,2.23,5.18,21.78,5.37,89.98992999999999,5794.6667,29.9966
22,Linux Host,96,seq,3,4096.0,1024000.0,write,global,62898.0,2096.31,251592.0,8385.22,30.0008,62898.0,0.21,1.43,5.76,3.25,89.96306,20966.0,29.9877
23,Linux Host,96,seq,3,4096.0,1024000.0,write,local,255999.0,13748.04,1023996.0,54992.17,18.617,255999.0,0.21,0.22,13.5,0.22,55.45653,85333.0,18.4855
24,Linux Host,96,rnd,4,4096.0,1024000.0,read,global,46338.0,1544.29,185352.0,6177.16,30.0023,46338.0,2.35,2.59,11.92,3.82,119.98186,11584.5,29.9955
25,Linux Host,96,rnd,4,4096.0,1024000.0,read,local,45949.0,1531.34,183796.0,6125.34,30.0025,45949.0,2.35,2.61,24.32,3.13,119.97944,11487.25,29.9949
26,Linux Host,96,seq,4,4096.0,1024000.0,read,global,256000.0,41997.66,1024000.0,167990.64,6.092,256000.0,0.09,0.09,8.11,0.1,23.84282,64000.0,5.9607
27,Linux Host,96,seq,4,4096.0,1024000.0,read,local,256000.0,36367.33,1024000.0,145469.33,7.0354,256000.0,0.09,0.1,17.49,0.15,26.48102,64000.0,6.6203
28,Linux Host,96,rnd,4,4096.0,1024000.0,write,global,7663.0,255.3,30652.0,1021.22,30.0116,7663.0,2.56,15.66,26.02,18.61,120.02789,1915.75,30.007
29,Linux Host,96,rnd,4,4096.0,1024000.0,write,local,22981.0,765.76,91924.0,3063.03,30.0074,22981.0,2.21,5.22,27.47,5.37,120.00013,5745.25,30.0
30,Linux Host,96,seq,4,4096.0,1024000.0,write,global,70343.0,2344.38,281372.0,9377.51,30.0016,70343.0,0.23,1.71,6.6,3.3,119.94964,17585.75,29.9874
31,Linux Host,96,seq,4,4096.0,1024000.0,write,local,256000.0,17930.11,1024000.0,71720.44,14.2744,256000.0,0.21,0.22,13.6,0.24,56.21545,64000.0,14.0539
32,Linux Host,96,rnd,5,4096.0,1024000.0,read,global,62274.0,2075.39,249096.0,8301.56,30.0022,62274.0,2.35,2.41,11.53,2.48,149.97351,12454.8,29.9947
33,Linux Host,96,rnd,5,4096.0,1024000.0,read,local,60054.0,2001.47,240216.0,8005.88,30.0016,60054.0,2.35,2.5,30.17,2.61,149.96295,12010.8,29.9926
34,Linux Host,96,seq,5,4096.0,1024000.0,read,global,256000.0,52802.56,1024000.0,211210.25,4.8446,256000.0,0.09,0.09,6.53,0.1,23.90766,51200.0,4.7815
35,Linux Host,96,seq,5,4096.0,1024000.0,read,local,256000.0,45656.51,1024000.0,182626.04,5.6034,256000.0,0.09,0.11,20.94,0.21,27.281830000000003,51200.0,5.4564
36,Linux Host,96,rnd,5,4096.0,1024000.0,write,global,9503.0,316.58,38012.0,1266.32,30.0142,9503.0,4.14,15.79,26.29,18.61,150.02791,1900.6,30.0056
37,Linux Host,96,rnd,5,4096.0,1024000.0,write,local,28963.0,965.15,115852.0,3860.58,30.0053,28963.0,2.19,5.18,30.44,5.28,149.99420999999998,5792.6,29.9988
38,Linux Host,96,seq,5,4096.0,1024000.0,write,global,82973.0,2765.41,331892.0,11061.64,30.0006,82973.0,0.23,1.81,6.88,3.3,149.92560999999998,16594.6,29.9851
39,Linux Host,96,seq,5,4096.0,1024000.0,write,local,256000.0,21333.09,1024000.0,85332.34,11.9968,256000.0,0.21,0.23,18.23,0.25,58.48609,51200.0,11.6972
40,Linux Host,96,rnd,6,4096.0,1024000.0,read,global,72067.0,2401.8,288268.0,9607.19,30.0038,72067.0,2.35,2.5,13.21,2.66,179.96059,12011.1667,29.9934
41,Linux Host,96,rnd,6,4096.0,1024000.0,read,local,69620.0,2320.21,278480.0,9280.86,30.0024,69620.0,2.35,2.58,30.08,2.86,179.96259,11603.3333,29.9938
42,Linux Host,96,seq,6,4096.0,1024000.0,read,global,255996.0,59630.83,1023984.0,238523.32,4.2894,255996.0,0.09,0.1,8.75,0.1,25.0115,42666.0,4.1686
43,Linux Host,96,seq,6,4096.0,1024000.0,read,local,255996.0,49452.33,1023984.0,197809.34,5.1728,255996.0,0.09,0.12,18.33,0.26,29.52013,42666.0,4.92
44,Linux Host,96,rnd,6,4096.0,1024000.0,write,global,10544.0,351.25,42176.0,1404.98,30.0161,10544.0,8.17,17.08,28.87,18.28,180.04686999999998,1757.3333,30.0078
45,Linux Host,96,rnd,6,4096.0,1024000.0,write,local,34223.0,1140.33,136892.0,4561.32,30.0077,34223.0,2.19,5.26,32.94,5.37,179.98810999999998,5703.8333,29.998
46,Linux Host,96,seq,6,4096.0,1024000.0,write,global,99025.0,3300.2,396100.0,13200.8,30.0024,99025.0,0.23,1.82,9.99,3.07,179.91351999999998,16504.1667,29.9856
47,Linux Host,96,seq,6,4096.0,1024000.0,write,local,255996.0,25356.75,1023984.0,101427.0,10.0921,255996.0,0.21,0.23,16.88,0.23,59.935050000000004,42666.0,9.9892
48,Linux Host,96,rnd,7,4096.0,1024000.0,read,global,83299.0,2776.04,333196.0,11104.18,30.0026,83299.0,2.35,2.52,12.7,2.71,209.95057,11899.8571,29.9929
49,Linux Host,96,rnd,7,4096.0,1024000.0,read,local,83307.0,2776.33,333228.0,11105.3,30.0024,83307.0,2.35,2.52,30.93,2.57,209.94129999999998,11901.0,29.9916
50,Linux Host,96,seq,7,4096.0,1024000.0,read,global,255997.0,70682.62,1023988.0,282730.46,3.6181,255997.0,0.09,0.1,10.57,0.1,24.554380000000002,36571.0,3.5078
51,Linux Host,96,seq,7,4096.0,1024000.0,read,local,255997.0,57220.27,1023988.0,228881.1,4.4702,255997.0,0.09,0.12,22.62,0.1,30.43835,36571.0,4.3483
52,Linux Host,96,rnd,7,4096.0,1024000.0,write,global,11784.0,392.59,47136.0,1570.37,30.0127,11784.0,6.37,17.82,33.3,20.0,210.0434,1683.4286,30.0062
